10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.07834	test-mlogloss:1.07879
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[359]	train-mlogloss:0.459796	test-mlogloss:0.546563
[360]	train-mlogloss:0.459576	test-mlogloss:0.546485
[361]	train-mlogloss:0.459345	test-mlogloss:0.546394
[362]	train-mlogloss:0.459095	test-mlogloss:0.54637
[363]	train-mlogloss:0.45884	test-mlogloss:0.546305
[364]	train-mlogloss:0.45859	test-mlogloss:0.546224
[365]	train-mlogloss:0.458365	test-mlogloss:0.546161
[366]	train-mlogloss:0.458145	test-mlogloss:0.546105
[367]	train-mlogloss:0.458002	test-mlogloss:0.546052
[368]	train-mlogloss:0.45785	test-mlogloss:0.545996
[369]	train-mlogloss:0.457623	test-mlogloss:0.545929
[370]	train-mlogloss:0.457496	test-mlogloss:0.545883
[371]	train-mlogloss:0.457251	test-mlogloss:0.545851
[372]	train-mlogloss:0.457029	test-mlogloss:0.545791
[373]	train-mlogloss:0.456844	test-mlogloss:0.545778
[374]	train-mlogloss:0.456667	test-mlogloss:0.545769
[375]	train-mlogloss:0.456414	test-mlogloss:0.545736
[376]	train-mlogloss:0.456149	test-mlogloss:0.545668
[377]	train-mlogloss:0.455837	test-mlogloss:0.545616
[378]	train-mlogloss:0.455624	test-mlogloss:0.545555
[379]	train-mlogloss:0.455411	test-mlogloss:0.545463
[380]	train-mlogloss:0.45511	test-mlogloss:0.545402
[381]	train-mlogloss:0.454909	test-mlogloss:0.545349
[382]	train-mlogloss:0.454635	test-mlogloss:0.545305
[383]	train-mlogloss:0.454441	test-mlogloss:0.545288
[384]	train-mlogloss:0.454147	test-mlogloss:0.545221
[385]	train-mlogloss:0.453859	test-mlogloss:0.545152
[386]	train-mlogloss:0.45362	test-mlogloss:0.545079
[387]	train-mlogloss:0.453376	test-mlogloss:0.545043
